"QB","1","1","9","Aaron Rodgers","GB @  ATL",""
"QB","2","1","8","Philip Rivers","SD @  IND",""
"QB","3","1","12","Drew Brees","NO @  DAL",""
"QB","4","1","8","Michael Vick","PHI @  CHI",""
"QB","5","2","10","Peyton Manning","IND vs.  SD",""
"QB","6","2","11","Tom Brady","NE @  DET","Probable: Foot"
"QB","7","1","14","Ben Roethlisberger","PIT @  BUF",""
"QB","8","4","14","Kyle Orton","DEN vs.  STL",""
"QB","9","4","16","Eli Manning","NYG vs.  JAC",""
"QB","10","8","22","Joe Flacco","BAL vs.  TB",""
"QB","11","8","25","Matt Schaub","HOU vs.  TEN",""
"QB","12","9","27","Mark Sanchez","NYJ vs.  CIN",""
"QB","13","7","23","Matt Ryan","ATL vs.  GB",""
"QB","14","7","22","Shaun Hill","DET vs.  NE","Probable: Quadriceps"
"QB","15","8","23","Matt Cassel","KC @  SEA",""
"QB","16","13","27","Josh Freeman","TB @  BAL",""
"QB","17","10","26","Jon Kitna","DAL vs.  NO",""
"QB","18","5","23","Donovan McNabb","WAS vs.  MIN","Probable: Hamstring"
"QB","19","12","27","Brett Favre","MIN @  WAS","Probable: Ankle"
"QB","20","11","26","Jay Cutler","CHI vs.  PHI",""
"QB","21","16","26","Sam Bradford","STL @  DEN",""
"QB","22","3","28","Troy Smith","SF @  ARI",""
"QB","23","11","28","David Garrard","JAC @  NYG",""
"QB","24","16","32","Carson Palmer","CIN @  NYJ","Questionable: Foot"
"QB","25","13","29","Ryan Fitzpatrick","BUF vs.  PIT",""
"QB","26","15","33","Colt McCoy","CLE vs.  CAR","Questionable: Ankle"
"QB","27","16","32","Jason Campbell","OAK vs.  MIA",""
"QB","28","17","29","Derek Anderson","ARI vs.  SF",""
"QB","29","19","25","Matt Hasselbeck","SEA vs.  KC",""
"QB","30","25","32","Rusty Smith","TEN @  HOU",""
"QB","31","30","33","Tyler Thigpen","MIA @  OAK",""
"QB","32","31","39","Jake Delhomme","CLE vs.  CAR","Questionable: Ankle"
"QB","33","31","36","Brian St. Pierre","CAR @  CLE","Questionable: Shoulder"
"QB","34","31","35","Jimmy Clausen","CAR @  CLE","Questionable: Concussion"
"QB","35","32","34","Chad Henne","MIA @  OAK","Questionable: Knee"
"RB","1","1","8","Adrian Peterson","MIN @  WAS",""
"RB","2","1","9","Chris Johnson","TEN @  HOU",""
"RB","3","1","9","Peyton Hillis","CLE vs.  CAR",""
"RB","4","1","7","Arian Foster","HOU vs.  TEN",""
"RB","5","1","10","Frank Gore","SF @  ARI",""
"RB","6","4","12","Rashard Mendenhall","PIT @  BUF",""
"RB","7","1","11","Steven Jackson","STL @  DEN",""
"RB","8","5","11","Ray Rice","BAL vs.  TB",""
"RB","9","5","17","Maurice Jones-Drew","JAC @  NYG",""
